,ÀÏ·Ã¹øÈ£,Ç°¹ø,½ÃÇèÀÏÀÚ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,ºÒÇÕ°Ý Ç×¸ñ,ÆÇÁ¤,LOT ¹øÈ£,ÇÕ°Ý¿©ºÎ,»ý»ê³â¿ù,½ÃÇè³â¿ù,¿î¿ë¿ù
31,SG 08 A709 00,81046010,2022-11-03,2.080 ,2.030 ,1800.000 ,570.000 ,530.000 ,2400.000 ,5500.000 ,550.000 ,3.069 ,100.923 ,1.807 ,2.500 ,2.593 ,2.451 ,0.000 ,0.000 ,2.490 ,4.999 ,14.960 ,-14.795 ,9.833 ,-0.006 ,20.231 ,0.466 ,9.827 ,0.087 ,20.0,,ÇÕ°Ý,¿¤³Ø¿ø08Â÷056-021°¡,ÇÕ°Ý,0810,2211,169.0
32,SG 08 A712 00,81046010,2022-11-02,2.107 ,2.001 ,1700.000 ,550.000 ,530.000 ,2400.000 ,5500.000 ,550.000 ,2.948 ,100.520 ,1.826 ,2.505 ,2.500 ,2.422 ,0.000 ,0.000 ,2.480 ,4.993 ,14.905 ,-14.813 ,9.886 ,0.014 ,20.451 ,0.456 ,9.867 ,0.123 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Â÷056-021°¡,ÇÕ°Ý,0810,2211,169.0
33,SG 08 A713 00,81046010,2022-11-03,2.102 ,2.051 ,1800.000 ,550.000 ,530.000 ,2200.000 ,5000.000 ,550.000 ,3.069 ,99.382 ,1.797 ,2.466 ,2.485 ,2.446 ,0.000 ,0.000 ,2.480 ,4.987 ,14.978 ,-15.234 ,9.837 ,0.023 ,20.214 ,0.517 ,9.878 ,0.170 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Â÷056-021°¡,ÇÕ°Ý,0810,2211,169.0
34,SG 08 A714 00,81046010,2022-11-02,2.000 ,2.007 ,1800.000 ,550.000 ,500.000 ,2400.000 ,5500.000 ,550.000 ,3.070 ,100.839 ,1.812 ,2.500 ,2.505 ,2.432 ,0.000 ,0.000 ,2.485 ,4.987 ,15.015 ,-14.795 ,9.936 ,0.005 ,20.426 ,0.482 ,9.935 ,0.098 ,20.0,,ÇÕ°Ý,¿¤³Ø¿ø08Â÷056-021°¡,ÇÕ°Ý,0810,2211,169.0
35,SG 08 A715 00,81046010,2022-11-02,2.090 ,2.029 ,1600.000 ,550.000 ,500.000 ,2400.000 ,5500.000 ,550.000 ,2.950 ,100.458 ,1.826 ,2.515 ,2.520 ,2.549 ,0.000 ,0.005 ,2.485 ,4.993 ,14.978 ,-14.868 ,9.658 ,0.036 ,20.074 ,0.522 ,9.673 ,0.207 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Â÷056-021°¡,ÇÕ°Ý,0810,2211,169.0
36,SG 08 A777 00,81046010,2022-11-02,2.199 ,2.026 ,1800.000 ,550.000 ,510.000 ,2400.000 ,6000.000 ,550.000 ,2.947 ,99.579 ,1.821 ,2.485 ,2.563 ,2.441 ,0.000 ,0.000 ,2.485 ,4.993 ,15.015 ,-15.253 ,9.878 ,-0.037 ,20.265 ,0.267 ,9.887 ,0.071 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Ä«056-022°¡,ÇÕ°Ý,0811,2211,168.0
37,SG 08 A776 00,81046010,2022-11-03,2.121 ,2.020 ,1800.000 ,580.000 ,520.000 ,2400.000 ,5500.000 ,550.000 ,3.070 ,100.605 ,1.816 ,2.407 ,2.500 ,2.437 ,0.000 ,0.000 ,2.485 ,4.993 ,15.015 ,-14.941 ,9.912 ,0.032 ,20.416 ,0.392 ,9.932 ,0.085 ,20.0,,ÇÕ°Ý,¿¤³Ø¿ø08Ä«056-022°¡,ÇÕ°Ý,0811,2211,168.0
38,SG 08 A798 00,81046010,2022-10-31,2.000 ,2.043 ,1600.000 ,550.000 ,500.000 ,2400.000 ,5500.000 ,520.000 ,3.069 ,100.889 ,1.826 ,2.495 ,2.520 ,2.446 ,0.000 ,0.000 ,2.485 ,4.987 ,15.015 ,-14.868 ,9.830 ,0.030 ,20.296 ,0.407 ,9.817 ,0.135 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Å¸056-023°¡,ÇÕ°Ý,0812,2210,166.0
39,SG 08 A799 00,81046010,2022-10-27,2.000 ,2.034 ,1800.000 ,550.000 ,500.000 ,2500.000 ,6000.000 ,510.000 ,2.954 ,101.052 ,1.816 ,2.480 ,2.515 ,2.456 ,0.000 ,0.000 ,2.490 ,4.993 ,15.033 ,-14.832 ,9.933 ,-0.071,20.313,0.362,9.889,0.033,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Å¸056-023°¡,ÇÕ°Ý,0812,2210,166.0
40,SG 08 A716 00,81046010,2022-11-29,2.000 ,2.025 ,1800.000 ,550.000 ,510.000 ,2300.000 ,5500.000 ,530.000 ,3.059 ,99.541 ,1.792 ,2.437 ,2.568 ,2.451 ,0.000 ,0.000 ,2.485 ,4.993 ,14.996 ,-15.216 ,9.727 ,0.034 ,19.491 ,0.531 ,9.724 ,0.186 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Â÷056-021°¡,ÇÕ°Ý,0810,2211,169.0
41,SG 08 A717 00,81046010,2022-11-29,100.799 ,2.017 ,1800.000 ,550.000 ,510.000 ,2350.000 ,5400.000 ,550.000 ,3.069 ,100.520 ,1.816 ,2.524 ,2.534 ,2.441 ,0.000 ,0.000 ,2.480 ,4.987 ,14.960 ,-14.941 ,9.842 ,0.012 ,20.141 ,0.372 ,9.831 ,0.122 ,21.0,½ºÄûºê,ºÒÇÕ°Ý,¿¤³Ø¿ø08Â÷056-021°¡,ºÒÇÕ°Ý,0810,2211,169.0
42,SG 08 A765 00,81046010,2022-11-29,2.150 ,2.038 ,1800.000 ,570.000 ,540.000 ,2300.000 ,5500.000 ,550.000 ,3.061 ,100.560 ,1.792 ,2.456 ,2.524 ,2.422 ,0.000 ,0.000 ,2.480 ,4.993 ,14.941 ,-14.832 ,9.799 ,0.009 ,20.090 ,0.283 ,9.808 ,0.110 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Ä«056-022°¡,ÇÕ°Ý,0811,2211,168.0
43,SG 08 A768 00,81046010,2022-11-30,1.900 ,1.992 ,1800.000 ,560.000 ,520.000 ,2400.000 ,5500.000 ,540.000 ,3.069 ,100.958 ,1.787 ,2.432 ,2.534 ,2.451 ,0.000 ,0.000 ,2.490 ,4.993 ,14.960 ,-14.795 ,9.899 ,0.050 ,20.204 ,0.346 ,9.894 ,0.140 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Ä«056-022°¡,ÇÕ°Ý,0811,2211,168.0
44,SG 08 A769 00,81046010,2022-11-29,2.104 ,2.016 ,1900.000 ,600.000 ,550.000 ,2400.000 ,6000.000 ,550.000 ,3.061 ,100.479 ,1.831 ,2.461 ,2.510 ,2.476 ,0.000 ,0.000 ,2.490 ,4.999 ,14.941 ,-14.905 ,9.707 ,0.032 ,3.689 ,0.378 ,9.742 ,0.132 ,21.0,ÃÖ´ëÃßÀû·ü,ºÒÇÕ°Ý,¿¤³Ø¿ø08Ä«056-022°¡,ºÒÇÕ°Ý,0811,2211,168.0
45,SG 08 A780 00,81046010,2022-11-30,2.145 ,2.021 ,1800.000 ,550.000 ,500.000 ,2200.000 ,5000.000 ,530.000 ,3.061 ,100.779 ,1.797 ,2.476 ,2.515 ,2.441 ,0.000 ,0.000 ,2.485 ,4.980 ,14.978 ,-14.850 ,9.825 ,0.053 ,20.371 ,0.637 ,9.779 ,0.150 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Ä«056-022°¡,ÇÕ°Ý,0811,2211,168.0
46,SG 08 A781 00,81046010,2022-11-30,19.401 ,1.994 ,1850.000 ,590.000 ,550.000 ,2400.000 ,5900.000 ,550.000 ,3.062 ,100.566 ,1.807 ,2.461 ,2.544 ,2.451 ,0.000 ,0.000 ,2.490 ,4.993 ,15.051 ,-14.941 ,9.834 ,0.067 ,20.161 ,0.579 ,9.856 ,0.188 ,20.0,½ºÄûºê,ºÒÇÕ°Ý,¿¤³Ø¿ø08Ä«056-022°¡,ºÒÇÕ°Ý,0811,2211,168.0
47,SG 08 A807 00,81046010,2022-11-22,2.000 ,1.992 ,1800.000 ,560.000 ,530.000 ,2400.000 ,5500.000 ,550.000 ,3.030 ,100.420 ,1.812 ,2.466 ,2.554 ,2.427 ,0.000 ,0.000 ,2.490 ,4.999 ,14.978 ,-14.886 ,9.799 ,-0.004 ,20.120 ,0.289 ,9.788 ,0.089 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Å¸056-023°¡,ÇÕ°Ý,0812,2211,167.0
48,SG 08 A808 00,81046010,2022-11-22,2.049 ,2.043 ,1800.000 ,560.000 ,530.000 ,2300.000 ,5500.000 ,550.000 ,3.009 ,100.666 ,1.802 ,2.393 ,2.539 ,2.427 ,0.000 ,0.000 ,2.490 ,4.999 ,15.033 ,-14.868 ,10.247 ,-0.007 ,20.745 ,0.352 ,10.180 ,0.092 ,20.0,,ÇÕ°Ý,¿¤³Ø¿ø08Å¸056-023°¡,ÇÕ°Ý,0812,2211,167.0
49,SG 08 A809 00,81046010,2022-11-23,2.000 ,2.029 ,1800.000 ,550.000 ,510.000 ,2300.000 ,5500.000 ,540.000 ,3.051 ,99.990 ,1.826 ,2.437 ,2.544 ,2.402 ,0.000 ,0.000 ,2.490 ,4.993 ,15.051 ,-15.161 ,9.656 ,0.044 ,19.939 ,0.332 ,9.643 ,0.165 ,21.0,±âº»¼º´É(À¯µµÅºÀÚÃ¼Á¡°Ë±â´É),ºÒÇÕ°Ý,¿¤³Ø¿ø08Å¸056-023°¡,ºÒÇÕ°Ý,0812,2211,167.0
50,SG 07 A537 00,81046010,2022.12.28,2.062 ,2.035 ,1500.000 ,550.000 ,500.000 ,2400.000 ,5400.000 ,520.000 ,3.069 ,100.916 ,1.826 ,2.466 ,2.524 ,2.441 ,0.000 ,0.000 ,2.480 ,4.993 ,15.033 ,-14.795 ,9.492 ,0.009 ,19.893 ,0.381 ,9.474 ,0.102 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø07Å¸056-017°¡,ÇÕ°Ý,0712,2212,180.0
51,SG 08 A677 00,81046010,2023.1.2,2.1,1.983 ,1800.000 ,550.000 ,510.000 ,2300.000 ,5500.000 ,550.000 ,3.042 ,100.534 ,1.807 ,2.441 ,2.480 ,2.373 ,0.000 ,0.000 ,2.485 ,5.005 ,14.941 ,-14.886 ,9.914 ,-0.041 ,20.251 ,0.373 ,9.940 ,0.043 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2301,172.0
