Code,,LOT 번호,일련번호,품번,시험일자,운용월,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,불합격 항목,합격여부
시험항목,시험항목1,,,,,,스퀴브 점검,,배선 점검,,,,,,기본성능 점검,,,,,,,,,,,,,,최대 추적률 점검,,고착 문턱값 점검,,냉각유지시간,,
,시험항목2,,,,,,열전지스퀴브 저항,사출모터스퀴브 저항,22P-PGND,PGND-22P,22N-PGND,PGND-22N,22P-22N,22N-22P,유도제어장치 점검,,아날로그 신호 점검,,,,,,,,,,강제세차 점검,,SLAP,SLAY,SLAP,SLAY,,,
,시험항목3,,,,,,,,,,,,,,자전기동시간,자전안정화주파수,아날로그 신호 점검,,,,,,,전원 점검,,,SLAP,SLAY,,,,,,,
,시험항목4,,,,,,,,,,,,,,,,ASLAP,ASLAY,ALOSRP,ALOSRY,AVIFSC,AFROLL,AMRSIN,+5V,+15V,-15V,,,,,,,,,
,,엘넥원11타056-052가,SG 11 B667 00,81040050,2021-01-19,110,2.09,2,1900,590,540,2210,5400,560,2.51,101.52,1.82,2.41,2.57,2.43,0,0,2.5,4.99,14.98,-14.74,9.74,0.21,20.74,0.7,9.75,0.22,23.42,,합격
,,엘넥원11타056-052가,SG 11 B671 00,81040050,2021-01-20,110,2.07,2.02,1990,600,560,2400,5900,570,2.46,101.02,1.82,2.48,2.58,2.45,0,0,2.5,4.99,15.01,-14.72,9.97,0.21,21.16,0.28,9.9,0.18,23.02,,합격
,,엘넥원11타056-052가,SG 11 B678 00,81040050,2021-01-22,110,2.11,1.99,1910,590,570,2410,5800,600,2.53,100.91,1.82,2.49,2.54,2.46,0,0,2.5,5,15,-14.89,9.81,0.24,21.11,0.69,9.86,0.33,24,,합격
,,엘넥원11타056-052가,SG 11 B679 00,81040050,2021-01-20,110,2.07,2.01,1950,590,570,2410,5800,600,2.34,101.39,1.79,2.48,2.54,2.42,0,0.04,2.49,4.99,15.01,-14.83,9.84,0.25,21.05,0.6,9.82,0.28,24,,합격
,,엘넥원11타056-052가,SG 11 B685 00,81040050,2021-01-22,110,2.14,2,1950,600,550,2410,5900,580,2.51,101.37,1.79,2.45,2.5,2.49,0,0,2.49,4.99,15.01,-14.76,-2.51,0.09,-25.92,-0.38,-25.22,-0.21,3.4,"기본성능(강제세차), 최대추적률, 고착문턱값, 냉각유지",불합격
,,엘넥원12아056-057가,SG 12 B863 00,81040050,2021-01-15,101,2.21,1.99,1690,580,520,2410,6100,530,5.1,-99.99,2.08,2.93,1.99,3.06,0,1.12,2.5,5.01,15.05,-15.25,-688.97,-688.97,-25.35,1.62,9.93,0,24,"기본성능(유도제어장치, 유도탄자체점검기능, 아날로그 신호, 강제세차), 최대추적률",불합격
,,엘넥원12사056-057가,SG 12 B873 00,81040050,2021-01-27,102,2.21,2.01,1790,590,560,2410,5600,580,2.42,98.85,1.82,2.46,2.5,2.5,0,0,2.49,4.99,14.98,-15.29,9.65,0.12,-25.89,-0.67,-6.22,0.91,4.8,"최대추적률, 고착문턱값, 냉각유지",불합격
,,엘넥원12아056-058가,SG 12 B875 00,81040050,2021-01-15,101,2.14,2,1900,590,550,2400,5900,570,2.23,99.65,1.78,2.37,2.55,2.42,0,0,2.49,4.99,15.01,-15.23,-0.98,-1.91,-26.29,1.38,-25.05,0.75,4.6,"기본성능(강제세차), 최대추적률, 고착문턱값, 냉각유지",불합격
,,엘넥원12아056-058가,SG 12 B877 00,81040050,2021-02-09,102,2.13,2.01,1590,600,560,2500,5900,580,2.35,100.62,1.82,2.49,2.55,2.41,0,0.03,2.49,4.99,15.03,-14.96,10.06,0.24,21.16,0.81,10.09,0.28,24,,합격
,,엘넥원12자056-059가,SG 12 B881 00,81040050,2021-01-27,100,2.12,1.99,1950,600,560,2450,5800,580,2.48,99.83,1.82,2.44,2.53,2.42,0,0,2.49,5.01,15.01,-15.23,9.91,0.1,20.93,0.37,9.95,0.12,24,,합격
